Date,Open,High,Low,Close,Volume
2022-02-24 20:00:00+05:30,35300.26,35444.29,35258.21,35424.44,134.936
2022-02-24 20:01:00+05:30,35424.45,35607.64,35412.74,35594.68,136.153
2022-02-24 20:02:00+05:30,35594.69,35900.0,35588.74,35801.63,426.075
2022-02-24 20:03:00+05:30,35801.62,35820.71,35645.71,35669.25,249.86
2022-02-24 20:04:00+05:30,35669.25,35696.13,35573.9,35678.08,181.13
2022-02-24 20:05:00+05:30,35678.08,35702.15,35493.69,35564.23,135.017
2022-02-24 20:06:00+05:30,35564.23,35665.33,35536.0,35663.54,126.712
2022-02-24 20:07:00+05:30,35663.53,35682.18,35573.2,35655.01,104.411
2022-02-24 20:08:00+05:30,35655.01,35711.29,35469.38,35578.61,227.952
2022-02-24 20:09:00+05:30,35575.3,35709.3,35564.68,35683.22,182.707
2022-02-24 20:10:00+05:30,35683.55,35707.79,35565.2,35614.72,107.538
2022-02-24 20:11:00+05:30,35614.71,35625.38,35485.74,35521.55,109.426
2022-02-24 20:12:00+05:30,35521.55,35549.33,35355.35,35407.92,173.215
2022-02-24 20:13:00+05:30,35407.92,35414.89,35177.96,35204.08,354.599
2022-02-24 20:14:00+05:30,35204.08,35281.74,35200.0,35266.11,155.977
2022-02-24 20:15:00+05:30,35266.11,35341.51,35209.14,35329.79,156.047
2022-02-24 20:16:00+05:30,35329.8,35404.36,35300.0,35398.1,104.095
2022-02-24 20:17:00+05:30,35398.1,35405.36,35283.85,35371.29,161.641
2022-02-24 20:18:00+05:30,35371.29,35484.81,35336.69,35469.58,130.9
2022-02-24 20:19:00+05:30,35469.58,35670.68,35429.65,35670.12,149.613
2022-02-24 20:20:00+05:30,35670.11,35731.07,35628.34,35635.02,176.02
2022-02-24 20:21:00+05:30,35635.02,35643.16,35527.75,35596.08,171.428
2022-02-24 20:22:00+05:30,35596.08,35640.19,35529.85,35571.38,110.523
2022-02-24 20:23:00+05:30,35571.37,35700.0,35564.91,35645.73,147.334
2022-02-24 20:24:00+05:30,35645.74,35652.84,35569.63,35590.04,109.972
2022-02-24 20:25:00+05:30,35590.05,35683.05,35524.89,35638.6,124.575
2022-02-24 20:26:00+05:30,35638.59,35689.99,35584.06,35629.12,176.807
2022-02-24 20:27:00+05:30,35629.12,35654.53,35568.86,35574.43,90.848
2022-02-24 20:28:00+05:30,35574.43,35649.66,35555.28,35626.32,98.898
2022-02-24 20:29:00+05:30,35628.01,35670.0,35610.51,35639.83,82.677
2022-02-24 20:30:00+05:30,35639.82,35653.54,35568.14,35587.01,57.543
2022-02-24 20:31:00+05:30,35585.1,35617.18,35464.2,35492.22,101.705
2022-02-24 20:32:00+05:30,35492.23,35528.58,35404.34,35470.99,87.811
2022-02-24 20:33:00+05:30,35473.63,35476.51,35414.24,35436.48,70.076
2022-02-24 20:34:00+05:30,35436.49,35546.22,35431.46,35505.79,66.573
2022-02-24 20:35:00+05:30,35505.78,35523.39,35432.48,35489.99,70.278
2022-02-24 20:36:00+05:30,35490.0,35645.32,35464.28,35561.36,112.531
2022-02-24 20:37:00+05:30,35561.37,35610.09,35554.7,35566.14,51.848
2022-02-24 20:38:00+05:30,35566.14,35653.48,35566.14,35604.78,48.771
2022-02-24 20:39:00+05:30,35604.78,35660.21,35553.06,35643.01,70.021
2022-02-24 20:40:00+05:30,35641.45,35698.28,35625.54,35683.13,116.415
2022-02-24 20:41:00+05:30,35683.14,35779.0,35652.31,35738.75,201.612
2022-02-24 20:42:00+05:30,35738.75,35830.88,35696.7,35714.31,121.011
2022-02-24 20:43:00+05:30,35716.11,35787.55,35690.45,35736.01,66.038
2022-02-24 20:44:00+05:30,35736.01,35790.0,35667.05,35751.78,91.705
2022-02-24 20:45:00+05:30,35751.78,35826.87,35726.49,35780.54,81.144
2022-02-24 20:46:00+05:30,35780.54,35784.86,35700.0,35706.41,132.353
2022-02-24 20:47:00+05:30,35706.41,35742.11,35678.76,35720.94,91.197
2022-02-24 20:48:00+05:30,35720.93,35823.0,35689.68,35823.0,64.188
2022-02-24 20:49:00+05:30,35823.0,35858.35,35784.58,35837.99,103.496
2022-02-24 20:50:00+05:30,35837.99,36100.0,35817.42,36021.05,423.476
2022-02-24 20:51:00+05:30,36021.04,36077.17,35941.16,35946.49,119.347
2022-02-24 20:52:00+05:30,35941.16,35946.49,35842.74,35870.01,118.489
2022-02-24 20:53:00+05:30,35871.55,35873.86,35762.39,35788.2,105.878
